"","X","ID","scag_num_1","scag_num_2","scag_num_3","scag_num_4","scag_num_5","scag_num_6","scag_num_7","scag_num_8","scag_num_9","signal","position","lineup","condition_lineup","corr_plots"
"52",52,1539,0.438855162747065,0.637041650889663,0.0100504032006331,0.0512032684190134,0.0987654320987654,0.624769465216004,0.401326292776499,0.357423382900876,0.0397064823330336,0,12,3,"A1_6","8"
"53",53,1585,0.164568363840754,0.717182075434873,0.0110491852624295,0.0665326958682766,0.11731843575419,0.615071185033383,0.387372263572436,0.439952949196867,0.00521584383490265,0,13,3,"A1_6","8"
"54",54,1561,0.316874280511356,0.705916354318119,0.0123383600505026,0.0521546041576338,0.064327485380117,0.550022347520942,0.327289793140962,0.384673178061608,0.00473663133280156,0,14,3,"A1_6","8"
"55",55,1730,0.342004136780409,0.619717238291429,0.0181310152179251,0.0495246123608121,0.0529411764705882,0.57504527650213,0.51420759531444,0.428203020318324,0.00545614156133767,0,15,3,"A1_6","8"
"56",56,1725,0.340927320700781,0.581576875370902,0.0111601954507887,0.048880256026855,0.0769230769230769,0.488870692174649,0.610557485850749,0.405976893284124,0.04524542723453,0,16,3,"A1_6","8"
"57",57,1512,0.290063623629564,0.631772701858948,0.00283343103722231,0.0485122689410847,0.0747126436781609,0.63363128539094,0.467381774303498,0.367704804114868,0.01606808781493,0,17,3,"A1_6","8"
"58",58,1671,0.338364692712357,0.605424644814418,0.0132823108631435,0.0485406746831153,0.0232558139534884,0.459010859802518,0.409777095224594,0.406442107402327,0.00602708562250053,0,18,3,"A1_6","8"
"59",59,1629,0.347376291078903,0.620952575025018,0.0109492459205239,0.0494874874587725,0.0602409638554217,0.649174135141383,0.366202832755104,0.399394136738018,0.0213270469852089,0,19,3,"A1_6","8"
"60",60,1515,0.221066701543365,0.631430450325721,0.00534207924928509,0.0579073551769632,0.0747126436781609,0.572288363135447,0.493267348802686,0.353043839742383,0.022227360712555,0,20,3,"A1_6","8"
"61",61,1693,0.0893258561595473,0.638729910718809,0.00134278627024318,0.0643990505908555,0.0494505494505494,0.6465411299181,0.508587465834162,0.347278537269907,0.00946312147867385,0,1,4,"B1_4","8"
"62",62,1648,0.226219827056525,0.637333721196119,0.0136402327746824,0.0562654000586278,0.069364161849711,0.519318242665083,0.421964957808722,0.406442107402327,0.00133728273747375,0,2,4,"B1_4","8"
"63",63,1604,0.324925972155582,0.659975293802889,0.00639534598790327,0.0545656462464916,0.0773809523809524,0.760126952337722,0.390473857635986,0.380147657933111,0.00205051638821519,0,3,4,"B1_4","8"
"64",64,1727,0.304889809155153,0.59594547401023,0.00690588175129799,0.0546497876168207,0.0404624277456647,0.557549912078482,0.489042647230449,0.382540059950211,0.00311674919496154,0,4,4,"B1_4","8"
"65",65,1509,0.25456582748916,0.587864641729575,0.00212794642619218,0.0524445250194759,0.109826589595376,0.434335830759539,0.558667581150247,0.418757709698725,0.0252101899774026,0,5,4,"B1_4","8"
"66",66,1650,0.21175531974835,0.628481073385418,0,0.0528025122812396,0.064327485380117,0.489611995748584,0.413505651080548,0.453190019147116,0.00342280255022099,0,6,4,"B1_4","8"
"67",67,1741,0.230263831250989,0.578430056501968,0.00516072057194754,0.0557320666943741,0.0731707317073171,0.549537021048575,0.477068529207947,0.392679005830453,0.00159319541074613,0,7,4,"B1_4","8"
"68",68,284,0.444229297086062,0.563762747519293,0.00978739031377367,0.0430846414143441,0.0617283950617284,0.462149408886793,0.549704489243989,0.405482763721433,0.0954371630376467,1,8,4,"B1_4","8"
"69",69,1556,0.233067558076074,0.545103833680485,0.00528830490029742,0.0565911069764749,0.0344827586206897,0.560530759901347,0.528836681853364,0.292837619781494,0.00434949287035869,0,9,4,"B1_4","8"
"70",70,1522,0.233437288097765,0.617027037377222,0.00888574064541377,0.0572128728353482,0.0714285714285714,0.60200541177982,0.413284977279833,0.359330654144287,0.00153492515012063,0,10,4,"B1_4","8"
"71",71,1577,0.115398172538569,0.718778524694729,0.00637605352193464,0.0684659218112553,0.0674157303370786,0.652336087358535,0.396505150317702,0.395144657525881,0.0259362426791738,0,11,4,"B1_4","8"
"72",72,1690,0.444861662788319,0.649970820289159,0.00601896774306309,0.0579390852369754,0.0773809523809524,0.580166275355835,0.445219384804332,0.386913987074979,0.0296909027297183,0,12,4,"B1_4","8"
"73",73,1521,0.150197890407749,0.691965652087415,0,0.0690273464222858,0.0842696629213483,0.567046162518258,0.488103513138282,0.377349589885169,0.0332980497543235,0,13,4,"B1_4","8"
"74",74,1599,0.120755558503625,0.659526667267476,0.0013530198947326,0.0621996363987216,0.0662983425414365,0.660540186669039,0.433551159263335,0.316960931630353,0.00414977049018065,0,14,4,"B1_4","8"
"75",75,1513,0.0932426988326248,0.71552821399714,0.00428131077464014,0.0709638349721854,0.0568181818181818,0.679507818838401,0.314552755339035,0.38890031823713,0.00994571800913984,0,15,4,"B1_4","8"
"76",76,1621,0.220561614505221,0.652290933264781,0,0.0634502627125196,0.1,0.657696978445826,0.432056715026402,0.434405133701404,0.00163290257458682,0,16,4,"B1_4","8"
"77",77,1625,0.152741072004842,0.647859234850196,0,0.0558391408885596,0.0529411764705882,0.497845028218105,0.453651784473795,0.450200730899258,0.000644467843273212,0,17,4,"B1_4","8"
"78",78,1651,0.246409150437659,0.681142070300104,0.00718950716491782,0.0524094685148771,0.0650887573964497,0.562099141663674,0.528391621814392,0.369461912351413,0.00212966160955142,0,18,4,"B1_4","8"
"79",79,1666,0.258302836571481,0.54536582520441,0.00324904657466269,0.0542616569940359,0.111111111111111,0.513351196956099,0.579317723464371,0.408828258514404,6.34224205578767e-05,0,19,4,"B1_4","8"
"80",80,1515,0.221066701543365,0.631430450325721,0.00534207924928509,0.0579073551769632,0.0747126436781609,0.572288363135447,0.493267348802686,0.353043839742383,0.022227360712555,0,20,4,"B1_4","8"
"81",81,2063,0.241252154933157,0.604908809881232,0.00569685195108022,0.0453827825743853,0.0364583333333333,0.594870396520515,0.455205647631883,0.430312252483407,0.0220247676445923,0,1,5,"AN_2","7,8,15"
"82",82,2169,0.208142163517135,0.580280883690477,0.00328979147940919,0.0475470648825046,0.0436893203883495,0.619623802631151,0.524648436889691,0.319832432613877,0.00140917407139156,0,2,5,"AN_2","7,8,15"
"83",83,2198,0.176879602388079,0.55084540541094,0.00497169207731812,0.0453054181762111,0.0424528301886792,0.47203800965619,0.58744290576242,0.429499064190097,0.00696155579434493,0,3,5,"AN_2","7,8,15"
"84",84,2161,0.193759218009576,0.539356705767905,0.00713221214735852,0.0437204825554796,0.0494505494505494,0.581036281431512,0.516057373633239,0.430787560524956,0.00333693500311698,0,4,5,"AN_2","7,8,15"
"85",85,2060,0.179987530333026,0.632826197062829,0.000856989084442034,0.0479795794853469,0.0301507537688442,0.578288533603808,0.487917291250043,0.377275821556846,0.0263846119750542,0,5,5,"AN_2","7,8,15"
"86",86,2215,0.111103400208308,0.635850259023308,0.00731925493613131,0.0477107385675169,0.0142857142857143,0.630619548309214,0.342750108450009,0.389115087997521,0.0110745117855677,0,6,5,"AN_2","7,8,15"
"87",87,763,0.0919320761075508,0.553835859863535,0.00506704084613174,0.0415351153371195,0.0137931034482759,0.544631769179806,0.51109401879325,0.330783490865219,0.687292621115533,1,7,5,"AN_2","7,8,15"
"88",88,911,0.353844833985916,0.565227659153101,0.00130846690652243,0.0415069527514402,0.0169491525423729,0.564522248355601,0.4954140343062,0.374163571137798,0.391717392023859,1,8,5,"AN_2","7,8,15"
"89",89,2040,0.262515593203173,0.585215264337925,0.00148314311741869,0.0470028981348549,0.0368421052631579,0.577952173491516,0.48299630087685,0.32871021008016,0.0162033714020688,0,9,5,"AN_2","7,8,15"
"90",90,2138,0.259101007553375,0.569775476938593,0.00180214839598306,0.045579895011598,0.0261780104712042,0.53208362511744,0.466771412214069,0.355396412037037,0.00274721616479053,0,10,5,"AN_2","7,8,15"
