"","ID","N","distribution","mean","sd","df"
"230",230,30,"Exponential",1.22474487139159,1.22474487139159,NA
"231",231,30,"Log-Normal",2.11700001661267,1.22474487139159,NA
"232",232,30,"Chi-Squared",6,3.46410161513775,6
"233",233,30,"Normal",0,1.18321595661992,NA
"234",234,30,"Normal",0,1.18321595661992,NA
"235",235,30,"Normal",0,1.18321595661992,NA
"236",236,30,"Normal",0,1.18321595661992,NA
"237",237,30,"T",0,1.18321595661992,7
"238",238,30,"Exponential",1.18321595661992,1.18321595661992,NA
"239",239,30,"Log-Normal",2.01375270747048,1.18321595661992,NA
"240",240,30,"Chi-Squared",7,3.74165738677394,7
"241",241,40,"Normal",0,1.73205080756888,NA
"242",242,40,"Normal",0,1.73205080756888,NA
"243",243,40,"Normal",0,1.73205080756888,NA
"244",244,40,"Normal",0,1.73205080756888,NA
"245",245,40,"T",0,1.73205080756888,3
"246",246,40,"Exponential",1.73205080756888,1.73205080756888,NA
"247",247,40,"Log-Normal",4.48168907033806,1.73205080756888,NA
"248",248,40,"Chi-Squared",3,2.44948974278318,3
"249",249,40,"Normal",0,1.4142135623731,NA
"250",250,40,"Normal",0,1.4142135623731,NA
"251",251,40,"Normal",0,1.4142135623731,NA
"252",252,40,"Normal",0,1.4142135623731,NA
"253",253,40,"T",0,1.4142135623731,4
"254",254,40,"Exponential",1.4142135623731,1.4142135623731,NA
"255",255,40,"Log-Normal",2.71828182845905,1.4142135623731,NA
"256",256,40,"Chi-Squared",4,2.82842712474619,4
"257",257,40,"Normal",0,1.29099444873581,NA
"258",258,40,"Normal",0,1.29099444873581,NA
"259",259,40,"Normal",0,1.29099444873581,NA
"260",260,40,"Normal",0,1.29099444873581,NA
"261",261,40,"T",0,1.29099444873581,5
"262",262,40,"Exponential",1.29099444873581,1.29099444873581,NA
"263",263,40,"Log-Normal",2.30097589089283,1.29099444873581,NA
"264",264,40,"Chi-Squared",5,3.16227766016838,5
"265",265,40,"Normal",0,1.22474487139159,NA
"266",266,40,"Normal",0,1.22474487139159,NA
"267",267,40,"Normal",0,1.22474487139159,NA
"268",268,40,"Normal",0,1.22474487139159,NA
"269",269,40,"T",0,1.22474487139159,6
"270",270,40,"Exponential",1.22474487139159,1.22474487139159,NA
"271",271,40,"Log-Normal",2.11700001661267,1.22474487139159,NA
"272",272,40,"Chi-Squared",6,3.46410161513775,6
