"","ID","Rate","N","SD","signal"
"440",440,2,300,4,1
"441",441,0.5,300,6,1
"442",442,0.75,300,6,1
"443",443,1,300,6,1
"444",444,1.5,300,6,1
"445",445,2,300,6,1
"446",446,0.5,300,8,1
"447",447,0.75,300,8,1
"448",448,1,300,8,1
"449",449,1.5,300,8,1
"450",450,2,300,8,1
"451",451,0.5,300,12,1
"452",452,0.75,300,12,1
"453",453,1,300,12,1
"454",454,1.5,300,12,1
"455",455,2,300,12,1
"456",456,0.5,400,1,1
"457",457,0.75,400,1,1
"458",458,1,400,1,1
"459",459,1.5,400,1,1
"460",460,2,400,1,1
"461",461,0.5,400,2,1
"462",462,0.75,400,2,1
"463",463,1,400,2,1
"464",464,1.5,400,2,1
"465",465,2,400,2,1
"466",466,0.5,400,3,1
"467",467,0.75,400,3,1
"468",468,1,400,3,1
"469",469,1.5,400,3,1
"470",470,2,400,3,1
"471",471,0.5,400,4,1
"472",472,0.75,400,4,1
"473",473,1,400,4,1
"474",474,1.5,400,4,1
"475",475,2,400,4,1
"476",476,0.5,400,6,1
"477",477,0.75,400,6,1
"478",478,1,400,6,1
"479",479,1.5,400,6,1
"480",480,2,400,6,1
"481",481,0.5,400,8,1
"482",482,0.75,400,8,1
"483",483,1,400,8,1
"484",484,1.5,400,8,1
"485",485,2,400,8,1
"486",486,0.5,400,12,1
"487",487,0.75,400,12,1
"488",488,1,400,12,1
"489",489,1.5,400,12,1
"490",490,2,400,12,1
"491",491,0.5,500,1,1
"492",492,0.75,500,1,1
"493",493,1,500,1,1
"494",494,1.5,500,1,1
"495",495,2,500,1,1
"496",496,0.5,500,2,1
"497",497,0.75,500,2,1
"498",498,1,500,2,1
"499",499,1.5,500,2,1
"500",500,2,500,2,1
"501",501,0.5,500,3,1
"502",502,0.75,500,3,1
"503",503,1,500,3,1
"504",504,1.5,500,3,1
"505",505,2,500,3,1
"506",506,0.5,500,4,1
"507",507,0.75,500,4,1
"508",508,1,500,4,1
"509",509,1.5,500,4,1
"510",510,2,500,4,1
"511",511,0.5,500,6,1
"512",512,0.75,500,6,1
"513",513,1,500,6,1
"514",514,1.5,500,6,1
"515",515,2,500,6,1
"516",516,0.5,500,8,1
"517",517,0.75,500,8,1
"518",518,1,500,8,1
"519",519,1.5,500,8,1
"520",520,2,500,8,1
"521",521,0.5,500,12,1
"522",522,0.75,500,12,1
"523",523,1,500,12,1
"524",524,1.5,500,12,1
"525",525,2,500,12,1
"526",526,0.5,100,1,1
"527",527,0.75,100,1,1
"528",528,1,100,1,1
"529",529,1.5,100,1,1
"530",530,2,100,1,1
"531",531,0.5,100,2,1
"532",532,0.75,100,2,1
"533",533,1,100,2,1
"534",534,1.5,100,2,1
"535",535,2,100,2,1
"536",536,0.5,100,3,1
"537",537,0.75,100,3,1
"538",538,1,100,3,1
"539",539,1.5,100,3,1
"540",540,2,100,3,1
"541",541,0.5,100,4,1
"542",542,0.75,100,4,1
"543",543,1,100,4,1
"544",544,1.5,100,4,1
"545",545,2,100,4,1
"546",546,0.5,100,6,1
"547",547,0.75,100,6,1
"548",548,1,100,6,1
"549",549,1.5,100,6,1
"550",550,2,100,6,1
"551",551,0.5,100,8,1
"552",552,0.75,100,8,1
"553",553,1,100,8,1
"554",554,1.5,100,8,1
"555",555,2,100,8,1
"556",556,0.5,100,12,1
"557",557,0.75,100,12,1
"558",558,1,100,12,1
"559",559,1.5,100,12,1
"560",560,2,100,12,1
"561",561,0.5,200,1,1
"562",562,0.75,200,1,1
"563",563,1,200,1,1
"564",564,1.5,200,1,1
"565",565,2,200,1,1
"566",566,0.5,200,2,1
"567",567,0.75,200,2,1
"568",568,1,200,2,1
"569",569,1.5,200,2,1
"570",570,2,200,2,1
"571",571,0.5,200,3,1
"572",572,0.75,200,3,1
"573",573,1,200,3,1
"574",574,1.5,200,3,1
"575",575,2,200,3,1
"576",576,0.5,200,4,1
"577",577,0.75,200,4,1
"578",578,1,200,4,1
"579",579,1.5,200,4,1
"580",580,2,200,4,1
"581",581,0.5,200,6,1
"582",582,0.75,200,6,1
"583",583,1,200,6,1
"584",584,1.5,200,6,1
"585",585,2,200,6,1
"586",586,0.5,200,8,1
"587",587,0.75,200,8,1
"588",588,1,200,8,1
"589",589,1.5,200,8,1
"590",590,2,200,8,1
"591",591,0.5,200,12,1
"592",592,0.75,200,12,1
"593",593,1,200,12,1
"594",594,1.5,200,12,1
"595",595,2,200,12,1
"596",596,0.5,300,1,1
"597",597,0.75,300,1,1
"598",598,1,300,1,1
"599",599,1.5,300,1,1
"600",600,2,300,1,1
"601",601,0.5,300,2,1
"602",602,0.75,300,2,1
"603",603,1,300,2,1
"604",604,1.5,300,2,1
"605",605,2,300,2,1
"606",606,0.5,300,3,1
"607",607,0.75,300,3,1
"608",608,1,300,3,1
"609",609,1.5,300,3,1
"610",610,2,300,3,1
"611",611,0.5,300,4,1
"612",612,0.75,300,4,1
"613",613,1,300,4,1
"614",614,1.5,300,4,1
"615",615,2,300,4,1
"616",616,0.5,300,6,1
"617",617,0.75,300,6,1
"618",618,1,300,6,1
"619",619,1.5,300,6,1
"620",620,2,300,6,1
"621",621,0.5,300,8,1
"622",622,0.75,300,8,1
"623",623,1,300,8,1
"624",624,1.5,300,8,1
"625",625,2,300,8,1
"626",626,0.5,300,12,1
"627",627,0.75,300,12,1
"628",628,1,300,12,1
"629",629,1.5,300,12,1
"630",630,2,300,12,1
"631",631,0.5,400,1,1
"632",632,0.75,400,1,1
"633",633,1,400,1,1
"634",634,1.5,400,1,1
"635",635,2,400,1,1
"636",636,0.5,400,2,1
"637",637,0.75,400,2,1
"638",638,1,400,2,1
"639",639,1.5,400,2,1
"640",640,2,400,2,1
"641",641,0.5,400,3,1
"642",642,0.75,400,3,1
"643",643,1,400,3,1
"644",644,1.5,400,3,1
"645",645,2,400,3,1
"646",646,0.5,400,4,1
"647",647,0.75,400,4,1
"648",648,1,400,4,1
"649",649,1.5,400,4,1
"650",650,2,400,4,1
"651",651,0.5,400,6,1
"652",652,0.75,400,6,1
"653",653,1,400,6,1
"654",654,1.5,400,6,1
"655",655,2,400,6,1
"656",656,0.5,400,8,1
"657",657,0.75,400,8,1
"658",658,1,400,8,1
"659",659,1.5,400,8,1
"660",660,2,400,8,1
"661",661,0.5,400,12,1
"662",662,0.75,400,12,1
"663",663,1,400,12,1
"664",664,1.5,400,12,1
"665",665,2,400,12,1
"666",666,0.5,500,1,1
"667",667,0.75,500,1,1
"668",668,1,500,1,1
"669",669,1.5,500,1,1
"670",670,2,500,1,1
"671",671,0.5,500,2,1
"672",672,0.75,500,2,1
"673",673,1,500,2,1
"674",674,1.5,500,2,1
"675",675,2,500,2,1
"676",676,0.5,500,3,1
"677",677,0.75,500,3,1
"678",678,1,500,3,1
"679",679,1.5,500,3,1
"680",680,2,500,3,1
"681",681,0.5,500,4,1
"682",682,0.75,500,4,1
"683",683,1,500,4,1
"684",684,1.5,500,4,1
"685",685,2,500,4,1
"686",686,0.5,500,6,1
"687",687,0.75,500,6,1
"688",688,1,500,6,1
"689",689,1.5,500,6,1
"690",690,2,500,6,1
"691",691,0.5,500,8,1
"692",692,0.75,500,8,1
"693",693,1,500,8,1
"694",694,1.5,500,8,1
"695",695,2,500,8,1
"696",696,0.5,500,12,1
"697",697,0.75,500,12,1
"698",698,1,500,12,1
"699",699,1.5,500,12,1
"700",700,2,500,12,1
"701",701,0.5,100,1,1
"702",702,0.75,100,1,1
"703",703,1,100,1,1
"704",704,1.5,100,1,1
"705",705,2,100,1,1
"706",706,0.5,100,2,1
"707",707,0.75,100,2,1
"708",708,1,100,2,1
"709",709,1.5,100,2,1
"710",710,2,100,2,1
"711",711,0.5,100,3,1
"712",712,0.75,100,3,1
"713",713,1,100,3,1
"714",714,1.5,100,3,1
"715",715,2,100,3,1
"716",716,0.5,100,4,1
"717",717,0.75,100,4,1
"718",718,1,100,4,1
"719",719,1.5,100,4,1
"720",720,2,100,4,1
"721",721,0.5,100,6,1
"722",722,0.75,100,6,1
"723",723,1,100,6,1
"724",724,1.5,100,6,1
"725",725,2,100,6,1
"726",726,0.5,100,8,1
"727",727,0.75,100,8,1
"728",728,1,100,8,1
"729",729,1.5,100,8,1
"730",730,2,100,8,1
"731",731,0.5,100,12,1
"732",732,0.75,100,12,1
"733",733,1,100,12,1
"734",734,1.5,100,12,1
"735",735,2,100,12,1
"736",736,0.5,200,1,1
"737",737,0.75,200,1,1
"738",738,1,200,1,1
"739",739,1.5,200,1,1
"740",740,2,200,1,1
"741",741,0.5,200,2,1
"742",742,0.75,200,2,1
"743",743,1,200,2,1
"744",744,1.5,200,2,1
"745",745,2,200,2,1
"746",746,0.5,200,3,1
"747",747,0.75,200,3,1
"748",748,1,200,3,1
"749",749,1.5,200,3,1
"750",750,2,200,3,1
"751",751,0.5,200,4,1
"752",752,0.75,200,4,1
"753",753,1,200,4,1
"754",754,1.5,200,4,1
"755",755,2,200,4,1
"756",756,0.5,200,6,1
"757",757,0.75,200,6,1
"758",758,1,200,6,1
"759",759,1.5,200,6,1
"760",760,2,200,6,1
"761",761,0.5,200,8,1
"762",762,0.75,200,8,1
"763",763,1,200,8,1
"764",764,1.5,200,8,1
"765",765,2,200,8,1
"766",766,0.5,200,12,1
"767",767,0.75,200,12,1
"768",768,1,200,12,1
"769",769,1.5,200,12,1
"770",770,2,200,12,1
"771",771,0.5,300,1,1
"772",772,0.75,300,1,1
"773",773,1,300,1,1
"774",774,1.5,300,1,1
"775",775,2,300,1,1
"776",776,0.5,300,2,1
"777",777,0.75,300,2,1
"778",778,1,300,2,1
"779",779,1.5,300,2,1
"780",780,2,300,2,1
"781",781,0.5,300,3,1
"782",782,0.75,300,3,1
"783",783,1,300,3,1
"784",784,1.5,300,3,1
"785",785,2,300,3,1
"786",786,0.5,300,4,1
"787",787,0.75,300,4,1
"788",788,1,300,4,1
"789",789,1.5,300,4,1
"790",790,2,300,4,1
"791",791,0.5,300,6,1
"792",792,0.75,300,6,1
"793",793,1,300,6,1
"794",794,1.5,300,6,1
"795",795,2,300,6,1
"796",796,0.5,300,8,1
"797",797,0.75,300,8,1
"798",798,1,300,8,1
"799",799,1.5,300,8,1
"800",800,2,300,8,1
"801",801,0.5,300,12,1
"802",802,0.75,300,12,1
"803",803,1,300,12,1
"804",804,1.5,300,12,1
"805",805,2,300,12,1
"806",806,0.5,400,1,1
"807",807,0.75,400,1,1
"808",808,1,400,1,1
"809",809,1.5,400,1,1
"810",810,2,400,1,1
"811",811,0.5,400,2,1
"812",812,0.75,400,2,1
"813",813,1,400,2,1
"814",814,1.5,400,2,1
"815",815,2,400,2,1
"816",816,0.5,400,3,1
"817",817,0.75,400,3,1
"818",818,1,400,3,1
"819",819,1.5,400,3,1
"820",820,2,400,3,1
"821",821,0.5,400,4,1
"822",822,0.75,400,4,1
"823",823,1,400,4,1
"824",824,1.5,400,4,1
"825",825,2,400,4,1
"826",826,0.5,400,6,1
"827",827,0.75,400,6,1
"828",828,1,400,6,1
"829",829,1.5,400,6,1
"830",830,2,400,6,1
"831",831,0.5,400,8,1
"832",832,0.75,400,8,1
"833",833,1,400,8,1
"834",834,1.5,400,8,1
"835",835,2,400,8,1
"836",836,0.5,400,12,1
"837",837,0.75,400,12,1
"838",838,1,400,12,1
"839",839,1.5,400,12,1
"840",840,2,400,12,1
"841",841,0.5,500,1,1
"842",842,0.75,500,1,1
"843",843,1,500,1,1
"844",844,1.5,500,1,1
"845",845,2,500,1,1
"846",846,0.5,500,2,1
"847",847,0.75,500,2,1
"848",848,1,500,2,1
"849",849,1.5,500,2,1
"850",850,2,500,2,1
"851",851,0.5,500,3,1
"852",852,0.75,500,3,1
"853",853,1,500,3,1
"854",854,1.5,500,3,1
"855",855,2,500,3,1
"856",856,0.5,500,4,1
"857",857,0.75,500,4,1
"858",858,1,500,4,1
"859",859,1.5,500,4,1
"860",860,2,500,4,1
"861",861,0.5,500,6,1
"862",862,0.75,500,6,1
"863",863,1,500,6,1
"864",864,1.5,500,6,1
"865",865,2,500,6,1
"866",866,0.5,500,8,1
"867",867,0.75,500,8,1
"868",868,1,500,8,1
"869",869,1.5,500,8,1
"870",870,2,500,8,1
"871",871,0.5,500,12,1
"872",872,0.75,500,12,1
"873",873,1,500,12,1
"874",874,1.5,500,12,1
