"","data_name","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","plot_location","index"
"141","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"142","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"143","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"144","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"145","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"146","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"147","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"148","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"149","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"150","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"151","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"152","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"153","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"154","data-1-1-1-20-2-14-5.csv","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"155","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"156","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"157","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"158","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
