"","ID","N","radius","startingAngle","sd1","sd2","signal"
"356",178,167,1,0,1,1,0
"357",179,167,1,0,0.333333333333333,0.25,1
"358",179,167,1,0,1,1,0
"359",180,167,1,0,0.333333333333333,0.333333333333333,1
"360",180,167,1,0,1,1,0
"361",181,33,1,0.785398163397448,0.125,0.125,1
"362",181,33,1,0.785398163397448,1,1,0
"363",182,33,1,0.785398163397448,0.125,0.142857142857143,1
"364",182,33,1,0.785398163397448,1,1,0
"365",183,33,1,0.785398163397448,0.125,0.166666666666667,1
"366",183,33,1,0.785398163397448,1,1,0
"367",184,33,1,0.785398163397448,0.125,0.2,1
"368",184,33,1,0.785398163397448,1,1,0
"369",185,33,1,0.785398163397448,0.125,0.25,1
"370",185,33,1,0.785398163397448,1,1,0
"371",186,33,1,0.785398163397448,0.125,0.333333333333333,1
"372",186,33,1,0.785398163397448,1,1,0
"373",187,33,1,0.785398163397448,0.142857142857143,0.125,1
"374",187,33,1,0.785398163397448,1,1,0
"375",188,33,1,0.785398163397448,0.142857142857143,0.142857142857143,1
"376",188,33,1,0.785398163397448,1,1,0
"377",189,33,1,0.785398163397448,0.142857142857143,0.166666666666667,1
"378",189,33,1,0.785398163397448,1,1,0
"379",190,33,1,0.785398163397448,0.142857142857143,0.2,1
"380",190,33,1,0.785398163397448,1,1,0
"381",191,33,1,0.785398163397448,0.142857142857143,0.25,1
"382",191,33,1,0.785398163397448,1,1,0
"383",192,33,1,0.785398163397448,0.142857142857143,0.333333333333333,1
"384",192,33,1,0.785398163397448,1,1,0
"385",193,33,1,0.785398163397448,0.166666666666667,0.125,1
"386",193,33,1,0.785398163397448,1,1,0
"387",194,33,1,0.785398163397448,0.166666666666667,0.142857142857143,1
"388",194,33,1,0.785398163397448,1,1,0
"389",195,33,1,0.785398163397448,0.166666666666667,0.166666666666667,1
"390",195,33,1,0.785398163397448,1,1,0
"391",196,33,1,0.785398163397448,0.166666666666667,0.2,1
"392",196,33,1,0.785398163397448,1,1,0
"393",197,33,1,0.785398163397448,0.166666666666667,0.25,1
"394",197,33,1,0.785398163397448,1,1,0
"395",198,33,1,0.785398163397448,0.166666666666667,0.333333333333333,1
"396",198,33,1,0.785398163397448,1,1,0
"397",199,33,1,0.785398163397448,0.2,0.125,1
"398",199,33,1,0.785398163397448,1,1,0
"399",200,33,1,0.785398163397448,0.2,0.142857142857143,1
"400",200,33,1,0.785398163397448,1,1,0
"401",201,33,1,0.785398163397448,0.2,0.166666666666667,1
"402",201,33,1,0.785398163397448,1,1,0
"403",202,33,1,0.785398163397448,0.2,0.2,1
"404",202,33,1,0.785398163397448,1,1,0
"405",203,33,1,0.785398163397448,0.2,0.25,1
"406",203,33,1,0.785398163397448,1,1,0
"407",204,33,1,0.785398163397448,0.2,0.333333333333333,1
"408",204,33,1,0.785398163397448,1,1,0
"409",205,33,1,0.785398163397448,0.25,0.125,1
"410",205,33,1,0.785398163397448,1,1,0
"411",206,33,1,0.785398163397448,0.25,0.142857142857143,1
"412",206,33,1,0.785398163397448,1,1,0
"413",207,33,1,0.785398163397448,0.25,0.166666666666667,1
"414",207,33,1,0.785398163397448,1,1,0
"415",208,33,1,0.785398163397448,0.25,0.2,1
"416",208,33,1,0.785398163397448,1,1,0
"417",209,33,1,0.785398163397448,0.25,0.25,1
"418",209,33,1,0.785398163397448,1,1,0
"419",210,33,1,0.785398163397448,0.25,0.333333333333333,1
"420",210,33,1,0.785398163397448,1,1,0
"421",211,33,1,0.785398163397448,0.333333333333333,0.125,1
"422",211,33,1,0.785398163397448,1,1,0
"423",212,33,1,0.785398163397448,0.333333333333333,0.142857142857143,1
"424",212,33,1,0.785398163397448,1,1,0
"425",213,33,1,0.785398163397448,0.333333333333333,0.166666666666667,1
"426",213,33,1,0.785398163397448,1,1,0
"427",214,33,1,0.785398163397448,0.333333333333333,0.2,1
"428",214,33,1,0.785398163397448,1,1,0
"429",215,33,1,0.785398163397448,0.333333333333333,0.25,1
"430",215,33,1,0.785398163397448,1,1,0
"431",216,33,1,0.785398163397448,0.333333333333333,0.333333333333333,1
"432",216,33,1,0.785398163397448,1,1,0
"433",217,67,1,0.785398163397448,0.125,0.125,1
"434",217,67,1,0.785398163397448,1,1,0
"435",218,67,1,0.785398163397448,0.125,0.142857142857143,1
"436",218,67,1,0.785398163397448,1,1,0
"437",219,67,1,0.785398163397448,0.125,0.166666666666667,1
"438",219,67,1,0.785398163397448,1,1,0
"439",220,67,1,0.785398163397448,0.125,0.2,1
"440",220,67,1,0.785398163397448,1,1,0
"441",221,67,1,0.785398163397448,0.125,0.25,1
"442",221,67,1,0.785398163397448,1,1,0
"443",222,67,1,0.785398163397448,0.125,0.333333333333333,1
"444",222,67,1,0.785398163397448,1,1,0
"445",223,67,1,0.785398163397448,0.142857142857143,0.125,1
"446",223,67,1,0.785398163397448,1,1,0
"447",224,67,1,0.785398163397448,0.142857142857143,0.142857142857143,1
"448",224,67,1,0.785398163397448,1,1,0
"449",225,67,1,0.785398163397448,0.142857142857143,0.166666666666667,1
"450",225,67,1,0.785398163397448,1,1,0
"451",226,67,1,0.785398163397448,0.142857142857143,0.2,1
"452",226,67,1,0.785398163397448,1,1,0
"453",227,67,1,0.785398163397448,0.142857142857143,0.25,1
"454",227,67,1,0.785398163397448,1,1,0
"455",228,67,1,0.785398163397448,0.142857142857143,0.333333333333333,1
"456",228,67,1,0.785398163397448,1,1,0
"457",229,67,1,0.785398163397448,0.166666666666667,0.125,1
"458",229,67,1,0.785398163397448,1,1,0
"459",230,67,1,0.785398163397448,0.166666666666667,0.142857142857143,1
"460",230,67,1,0.785398163397448,1,1,0
"461",231,67,1,0.785398163397448,0.166666666666667,0.166666666666667,1
"462",231,67,1,0.785398163397448,1,1,0
"463",232,67,1,0.785398163397448,0.166666666666667,0.2,1
"464",232,67,1,0.785398163397448,1,1,0
"465",233,67,1,0.785398163397448,0.166666666666667,0.25,1
"466",233,67,1,0.785398163397448,1,1,0
"467",234,67,1,0.785398163397448,0.166666666666667,0.333333333333333,1
"468",234,67,1,0.785398163397448,1,1,0
"469",235,67,1,0.785398163397448,0.2,0.125,1
"470",235,67,1,0.785398163397448,1,1,0
"471",236,67,1,0.785398163397448,0.2,0.142857142857143,1
"472",236,67,1,0.785398163397448,1,1,0
"473",237,67,1,0.785398163397448,0.2,0.166666666666667,1
"474",237,67,1,0.785398163397448,1,1,0
"475",238,67,1,0.785398163397448,0.2,0.2,1
