"","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","winner16"
"967",16389,16777,-2.3,16777,5.8,23.3,19.6,50.1,96.7,0.3,1,0.2,0.1,1.8,1.8,95.1,88.1,0.5,8.7,76.9,14.1,1615,31,7579,80.3,2.9,101400,6443,2.56,18155,40120,22.8,265,2358,4.4,1370,1600,0,0,0,0,0,22.1,0,59893,144726,8610,8357,0,540.77,31,"Rep"
"968",8297,8433,-1.6,8433,6.3,26.2,18.9,49.6,97.5,0.6,0.4,0.2,0,1.2,1.5,96.2,88.8,1.1,9.3,84.2,16.4,800,28.9,4183,76.3,4.8,104700,3151,2.61,19890,42393,14.7,161,912,2.2,771,592,0,0,0,0,0,19.9,0,41751,45292,5630,2187,1,563.24,15,"Rep"
"969",12692,12892,-1.6,12892,4.2,16.8,15.7,36.8,86.6,11.6,0.5,0.3,0.1,0.9,2,84.8,81.8,1.9,4.3,83,9.5,1277,23.7,4293,65.2,15.2,110400,3769,2.48,16635,44092,9.9,215,1969,0.8,634,0,0,0,0,0,0,0,0,0,128002,10405,5214,2,421.36,30.6,"Rep"
"970",13546,13684,-1,13684,5.6,21.5,22.2,50.6,96.7,0.4,0.6,0.3,0,1.9,1.2,95.7,88.2,0.5,1.7,81.7,10.5,1425,30.7,6450,77.7,3.6,102900,5178,2.61,16404,32130,22.6,200,2118,-8,981,1315,0,0,0,0,0,0,0,0,93694,6979,7693,1,813.63,16.8,"Rep"
"971",14866,15221,-2.3,15222,5,21.2,21.6,50.6,97.6,0.4,0.3,0.5,0,1.2,1.4,96.3,89.1,0.7,1.8,84.2,15.4,1329,27.1,8131,77.2,6.1,116000,6168,2.4,21830,41392,14.8,429,4732,3.8,1184,1844,0,0,0,0,0,0,172359,63145,146014,9486,13473,3,517.8,29.4,"Rep"
"972",285865,275174,3.9,275174,6.1,21,15.3,51.2,91.3,3.2,0.7,1.9,0.1,2.7,3.5,88.4,78.3,3.1,5.1,90.1,28.3,23944,19,129146,59.3,22.2,128100,115574,2.3,23520,40337,18.7,8201,137721,-3.2,19963,26031,1.9,0.7,1.1,0,1.4,25.2,3845368,5076007,4710360,17856,578286,1614,675.3,407.5,"Rep"
"973",10197,10261,-0.6,10261,6.8,23.5,21.2,52.6,96.8,0.8,0.6,0.7,0.1,1.1,2,95,84.2,1,4.4,85.4,14.9,819,20.3,5003,72.3,10.5,72700,4148,2.4,19527,37964,15.8,243,2672,2.6,707,669,0,0,0,0,0,0,0,76462,88259,8765,6236,4,435.28,23.6,"Rep"
"974",22028,22272,-1.1,22272,6,22.4,20.5,50.9,95.7,1.4,0.6,0.4,0.1,1.8,2.1,93.9,83.9,1.2,2,85.8,14.4,2212,23,10874,73.1,9.2,95700,9551,2.29,22394,39839,18.1,574,6537,-1,1411,1849,0,0,0,0,0,0,566623,101135,284256,12697,25044,6,696.95,32,"Rep"
"975",9219,9627,-4.2,9627,3.9,17,31.9,51.1,96.7,0.4,0.8,0.2,0.1,1.8,1.4,95.5,89.4,0.6,2.6,82.4,10.4,1315,32.6,6732,82.8,1.9,98700,4219,2.23,17361,29325,21.6,147,667,2.6,681,995,0,0,0,0,0,0,0,0,49990,5516,1641,0,399.09,24.1,"Rep"
"976",4516,4912,-8.1,4912,5.1,19.9,22.8,50.7,97.5,0.3,0.9,0.4,0,1,1,96.6,85.1,0.5,1.6,89.7,16.2,515,20.3,2783,71.6,9.4,78900,2218,2.1,24127,42979,12.3,137,971,4,422,537,0,0,0,0,0,0,0,84686,35782,7214,3966,0,462.69,10.6,"Rep"
